store_id,region_id,store_type,store_name,store_street_address,store_city,store_state,store_country,store_phone,First Opened,Last Remodel,total_sqft,grocery_sqft
1,28,Supermarket,Store 1,2853 Bailey Rd,Acapulco,Guerrero,Mexico,262-555-5124,9-Jan-08,5-Dec-16,23593,17475
2,78,Small Grocery,Store 2,5203 Catanzaro Way,Bellingham,WA,USA,605-555-8203,2-Apr-96,4-Jun-99,28206,22271
3,76,Supermarket,Store 3,1501 Ramsey Circle,Bremerton,WA,USA,509-555-1596,14-Jun-85,19-Nov-93,39696,24390
4,27,Gourmet Supermarket,Store 4,433 St George Dr,Camacho,Zacatecas,Mexico,304-555-1474,27-Sep-20,1-Dec-21,23759,16844
5,4,Small Grocery,Store 5,1250 Coggins Drive,Guadalajara,Jalisco,Mexico,801-555-4324,18-Sep-04,29-Jun-17,24597,15012
6,47,Gourmet Supermarket,Store 6,5495 Mitchell Canyon Road,Beverly Hills,CA,USA,958-555-5002,3-Jan-07,13-Mar-17,23688,15337
7,3,Supermarket,Store 7,1077 Wharf Drive,Los Angeles,CA,USA,477-555-7967,21-May-97,20-Oct-07,23598,14210
8,26,Deluxe Supermarket,Store 8,3173 Buena Vista Ave,Merida,Yucatan,Mexico,797-555-3417,23-Sep-84,18-Nov-93,30797,20141
9,2,Mid-Size Grocery,Store 9,1872 El Pintado Road,Mexico City,DF,Mexico,439-555-3524,18-Mar-81,7-Jun-85,36509,22450
10,24,Supermarket,Store 10,7894 Rotherham Dr,Orizaba,Veracruz,Mexico,212-555-4774,13-Apr-05,30-Jan-08,34791,26354
11,22,Supermarket,Store 11,5371 Holland Circle,Portland,OR,USA,685-555-8995,17-Sep-02,15-May-08,20319,16232
12,25,Deluxe Supermarket,Store 12,1120 Westchester Pl,Hidalgo,Zacatecas,Mexico,151-555-1702,25-Mar-94,18-Dec-19,30584,21938
13,23,Deluxe Supermarket,Store 13,5179 Valley Ave,Salem,OR,USA,977-555-2724,13-Apr-83,10-Nov-23,27694,18670
14,1,Small Grocery,Store 14,4365 Indigo Ct,San Francisco,CA,USA,135-555-4888,24-Nov-83,7-Jan-84,22478,15321
15,18,Supermarket,Store 15,5006 Highland Drive,Seattle,WA,USA,893-555-1024,24-Jul-95,19-Oct-99,21215,13305
16,87,Supermarket,Store 16,5922 La Salle Ct,Spokane,WA,USA,643-555-3645,23-Aug-00,13-Jul-03,30268,22063
17,84,Deluxe Supermarket,Store 17,490 Risdon Road,Tacoma,WA,USA,855-555-5581,30-May-96,23-Jun-02,33858,22123
18,25,Mid-Size Grocery,Store 18,6764 Glen Road,Hidalgo,Zacatecas,Mexico,528-555-8317,28-Jun-95,30-Aug-01,38382,30351
19,5,Deluxe Supermarket,Store 19,6644 Sudance Drive,Vancouver,BC,Canada,862-555-7395,27-Mar-03,25-Oct-16,23112,16418
20,6,Mid-Size Grocery,Store 20,3706 Marvelle Ln,Victoria,BC,Canada,897-555-1931,6-Feb-06,9-Apr-13,34452,27463
21,106,Deluxe Supermarket,Store 21,4093 Steven Circle,San Andres,DF,Mexico,493-555-4781,7-Feb-12,16-Apr-16,32717,25453
22,88,Small Grocery,Store 22,9606 Julpum Loop,Walla Walla,WA,USA,881-555-5117,24-Jan-77,17-Oct-95,35918,24837
23,89,Mid-Size Grocery,Store 23,3920 Noah Court,Yakima,WA,USA,170-555-8424,16-Jul-03,24-Jul-13,29182,19283
24,7,Supermarket,Store 24,2342 Waltham St.,San Diego,CA,USA,111-555-0303,22-May-05,20-Apr-12,27372,18293
